coursename,url
ACADEMIC ENGLISH A1 - Term 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13413
ACADEMIC ENGLISH A1 - Term 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13414
ACADEMIC ENGLISH A1 - Term 3 A18/19,https://ble.soas.ac.uk/course/view.php?id=13415
ACADEMIC ENGLISH A2 - Term 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13416
ACADEMIC ENGLISH A2 - Term 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13417
ACADEMIC ENGLISH A2 - Term 3 A18/19,https://ble.soas.ac.uk/course/view.php?id=13418
ACADEMIC ENGLISH A3 - Term 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13419
ACADEMIC ENGLISH A3 - Term 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13420
ACADEMIC ENGLISH A3 - Term 3 A18/19,https://ble.soas.ac.uk/course/view.php?id=13421
ACADEMIC ENGLISH A4 - Term 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13422
ACADEMIC ENGLISH A4 - Term 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13423
ACADEMIC ENGLISH A4 - Term 3 A18/19,https://ble.soas.ac.uk/course/view.php?id=13424
ACADEMIC ENGLISH A5 - Term 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13425
ACADEMIC ENGLISH A5 - Term 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13426
ACADEMIC ENGLISH A5 - Term 3 A18/19,https://ble.soas.ac.uk/course/view.php?id=13427
Academic English A18/19,https://ble.soas.ac.uk/course/view.php?id=13513
Advanced Reading & Writing block 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13565
Advanced Reading & Writing block 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13566
Art of the World in London block 1 3 weeks A18/19,https://ble.soas.ac.uk/course/view.php?id=13526
Art of the World in London block 1 6 weeks A18/19,https://ble.soas.ac.uk/course/view.php?id=13563
Art of the World in London block 2 3 Weeks A18/19,https://ble.soas.ac.uk/course/view.php?id=13564
Comparative Studies in Cultures (Pg) A18/19,https://ble.soas.ac.uk/course/view.php?id=13515
Economic Theory and the International Economy (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13588
English Language & Academic Skills block 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13571
English Language & Academic Skills block 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13572
English Language A18/19,https://ble.soas.ac.uk/course/view.php?id=13525
English Language Skills Practice - Term 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13501
English Language Skills Practice Term 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13502
